"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"1",0.692402648560677,1,0.615384615384615,"Diagnostic DELFI+CA125+HE4",0.5625,0.98,1,"All HGSOC"
"2",2965.5,1,0,"ca125",0.125,1,1,"All HGSOC"
"3",212.35,1,0.641025641025641,"he4",0.625,0.98,1,"All HGSOC"
"4",0.578668196743385,0.990147783251232,0.769230769230769,"Diagnostic DELFI+CA125+HE4",0.625,0.98,0.99,"All HGSOC"
"5",787.5,0.990147783251232,0.230769230769231,"ca125",0.375,0.98,0.99,"All HGSOC"
"6",177.05,0.990147783251232,0.743589743589744,"he4",0.625,0.98,0.99,"All HGSOC"
"7",0.386706298665616,0.950738916256158,0.82051282051282,"Diagnostic DELFI+CA125+HE4",0.6875,0.98,0.95,"All HGSOC"
"8",360.2,0.950738916256158,0.435897435897436,"ca125",0.5625,0.96,0.95,"All HGSOC"
"9",126.05,0.950738916256158,0.794871794871795,"he4",0.75,0.94,0.95,"All HGSOC"
"10",0.304479443067765,0.901477832512315,0.897435897435897,"Diagnostic DELFI+CA125+HE4",0.75,0.96,0.9,"All HGSOC"
"11",164.95,0.901477832512315,0.641025641025641,"ca125",0.6875,0.9,0.9,"All HGSOC"
"12",108.8,0.901477832512315,0.871794871794872,"he4",0.8125,0.92,0.9,"All HGSOC"
"13",0.275186865763773,0.852216748768473,0.923076923076923,"Diagnostic DELFI+CA125+HE4",0.8125,0.86,0.85,"All HGSOC"
"14",121.25,0.852216748768473,0.769230769230769,"ca125",0.6875,0.9,0.85,"All HGSOC"
"15",91.325,0.852216748768473,0.923076923076923,"he4",0.875,0.84,0.85,"All HGSOC"
"16",0.245951926627466,0.802955665024631,0.948717948717949,"Diagnostic DELFI+CA125+HE4",0.8125,0.82,0.8,"All HGSOC"
"17",88.205,0.802955665024631,0.871794871794872,"ca125",0.75,0.86,0.8,"All HGSOC"
"18",84.45,0.802955665024631,0.923076923076923,"he4",0.9375,0.8,0.8,"All HGSOC"
"19",0.231617210367067,0.753694581280788,0.974358974358974,"Diagnostic DELFI+CA125+HE4",0.8125,0.76,0.75,"All HGSOC"
"20",73.635,0.753694581280788,0.871794871794872,"ca125",0.75,0.84,0.75,"All HGSOC"
"21",79.765,0.753694581280788,0.923076923076923,"he4",0.9375,0.76,0.75,"All HGSOC"
"22",0.209778495110227,0.704433497536946,0.974358974358974,"Diagnostic DELFI+CA125+HE4",0.8125,0.72,0.7,"All HGSOC"
"23",54.365,0.704433497536946,0.871794871794872,"ca125",0.8125,0.82,0.7,"All HGSOC"
