"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"1",0.655097700609212,1,0.897435897435897,"Screening DELFI+CA125+HE4",0.8125,1,1,"All HGSOC"
"2",128.5,1,0.717948717948718,"ca125",0.6875,1,1,"All HGSOC"
"3",212.8,1,0.641025641025641,"he4",0.625,1,1,"All HGSOC"
"4",0.516246620912448,0.994505494505495,0.923076923076923,"Screening DELFI+CA125+HE4",0.8125,1,0.99,"All HGSOC"
"5",49.925,0.994505494505495,0.923076923076923,"ca125",0.8125,1,0.99,"All HGSOC"
"6",199,0.994505494505495,0.692307692307692,"he4",0.625,1,0.99,"All HGSOC"
"7",0.269727834895655,0.950549450549451,0.948717948717949,"Screening DELFI+CA125+HE4",1,1,0.95,"All HGSOC"
"8",26.005,0.950549450549451,0.974358974358974,"ca125",0.8125,0.954545454545455,0.95,"All HGSOC"
"9",110.9,0.950549450549451,0.846153846153846,"he4",0.8125,1,0.95,"All HGSOC"
"10",0.18589117226155,0.901098901098901,0.974358974358974,"Screening DELFI+CA125+HE4",1,1,0.9,"All HGSOC"
"11",23.375,0.906593406593407,0.974358974358974,"ca125",0.8125,0.954545454545455,0.9,"All HGSOC"
"12",85.27,0.901098901098901,0.923076923076923,"he4",0.9375,1,0.9,"All HGSOC"
"13",0.152066501312613,0.851648351648352,1,"Screening DELFI+CA125+HE4",1,1,0.85,"All HGSOC"
"14",19.89,0.851648351648352,0.974358974358974,"ca125",0.875,0.954545454545455,0.85,"All HGSOC"
"15",77.35,0.851648351648352,0.923076923076923,"he4",0.9375,1,0.85,"All HGSOC"
"16",0.119693767772097,0.802197802197802,1,"Screening DELFI+CA125+HE4",1,0.909090909090909,0.8,"All HGSOC"
"17",18.035,0.802197802197802,0.974358974358974,"ca125",0.875,0.954545454545455,0.8,"All HGSOC"
"18",71.025,0.802197802197802,0.974358974358974,"he4",1,0.909090909090909,0.8,"All HGSOC"
"19",0.105953537839969,0.752747252747253,1,"Screening DELFI+CA125+HE4",1,0.818181818181818,0.75,"All HGSOC"
"20",16.885,0.752747252747253,0.974358974358974,"ca125",0.875,0.909090909090909,0.75,"All HGSOC"
"21",64.985,0.752747252747253,0.974358974358974,"he4",1,0.909090909090909,0.75,"All HGSOC"
"22",0.0914161768107754,0.703296703296703,1,"Screening DELFI+CA125+HE4",1,0.681818181818182,0.7,"All HGSOC"
"23",16.05,0.703296703296703,0.974358974358974,"ca125",0.875,0.909090909090909,0.7,"All HGSOC"
"24",60.42,0.703296703296703,0.974358974358974,"he4",1,0.863636363636364,0.7,"All HGSOC"
"25",0.655097700609212,1,0.833333333333333,"Screening DELFI+CA125+HE4",0.8,1,1,"Stage I HGSOC"
"26",128.5,1,0.666666666666667,"ca125",0.6,1,1,"Stage I HGSOC"
"27",212.8,1,0.333333333333333,"he4",0.4,1,1,"Stage I HGSOC"
"28",0.516246620912448,0.994505494505495,0.833333333333333,"Screening DELFI+CA125+HE4",0.8,1,0.99,"Stage I HGSOC"
"29",49.925,0.994505494505495,0.833333333333333,"ca125",0.8,1,0.99,"Stage I HGSOC"
"30",199,0.994505494505495,0.333333333333333,"he4",0.4,1,0.99,"Stage I HGSOC"
"31",0.269727834895655,0.950549450549451,1,"Screening DELFI+CA125+HE4",1,1,0.95,"Stage I HGSOC"
