"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"1",0.655097700609212,1,0.765957446808511,"Screening DELFI+CA125+HE4",0.725,1,1,"All Cancers"
"2",128.5,1,0.531914893617021,"ca125",0.6,1,1,"All Cancers"
"3",212.8,1,0.414893617021277,"he4",0.4,1,1,"All Cancers"
"4",0.516246620912448,0.994505494505495,0.797872340425532,"Screening DELFI+CA125+HE4",0.725,1,0.99,"All Cancers"
"5",49.925,0.994505494505495,0.723404255319149,"ca125",0.8,1,0.99,"All Cancers"
"6",199,0.994505494505495,0.446808510638298,"he4",0.4,1,0.99,"All Cancers"
"7",0.269727834895655,0.950549450549451,0.851063829787234,"Screening DELFI+CA125+HE4",0.8,1,0.95,"All Cancers"
"8",26.005,0.950549450549451,0.851063829787234,"ca125",0.825,0.954545454545455,0.95,"All Cancers"
"9",110.9,0.950549450549451,0.648936170212766,"he4",0.65,1,0.95,"All Cancers"
"10",0.18589117226155,0.901098901098901,0.904255319148936,"Screening DELFI+CA125+HE4",0.85,1,0.9,"All Cancers"
"11",23.375,0.906593406593407,0.861702127659574,"ca125",0.825,0.954545454545455,0.9,"All Cancers"
"12",85.27,0.901098901098901,0.75531914893617,"he4",0.725,1,0.9,"All Cancers"
"13",0.152066501312613,0.851648351648352,0.936170212765957,"Screening DELFI+CA125+HE4",0.875,1,0.85,"All Cancers"
"14",19.89,0.851648351648352,0.925531914893617,"ca125",0.875,0.954545454545455,0.85,"All Cancers"
"15",77.35,0.851648351648352,0.765957446808511,"he4",0.75,1,0.85,"All Cancers"
"16",0.119693767772097,0.802197802197802,0.946808510638298,"Screening DELFI+CA125+HE4",0.875,0.909090909090909,0.8,"All Cancers"
"17",18.035,0.802197802197802,0.936170212765957,"ca125",0.875,0.954545454545455,0.8,"All Cancers"
"18",71.025,0.802197802197802,0.819148936170213,"he4",0.8,0.909090909090909,0.8,"All Cancers"
"19",0.105953537839969,0.752747252747253,0.946808510638298,"Screening DELFI+CA125+HE4",0.9,0.818181818181818,0.75,"All Cancers"
"20",16.885,0.752747252747253,0.946808510638298,"ca125",0.925,0.909090909090909,0.75,"All Cancers"
"21",64.985,0.752747252747253,0.904255319148936,"he4",0.8,0.909090909090909,0.75,"All Cancers"
"22",0.0914161768107754,0.703296703296703,0.957446808510638,"Screening DELFI+CA125+HE4",0.9,0.681818181818182,0.7,"All Cancers"
"23",16.05,0.703296703296703,0.968085106382979,"ca125",0.925,0.909090909090909,0.7,"All Cancers"
"24",60.42,0.703296703296703,0.904255319148936,"he4",0.825,0.863636363636364,0.7,"All Cancers"
"25",0.655097700609212,1,0.897435897435897,"Screening DELFI+CA125+HE4",0.8125,1,1,"HGSOC"
"26",128.5,1,0.717948717948718,"ca125",0.6875,1,1,"HGSOC"
"27",212.8,1,0.641025641025641,"he4",0.625,1,1,"HGSOC"
"28",0.516246620912448,0.994505494505495,0.923076923076923,"Screening DELFI+CA125+HE4",0.8125,1,0.99,"HGSOC"
"29",49.925,0.994505494505495,0.923076923076923,"ca125",0.8125,1,0.99,"HGSOC"
